,Office_Mada,Office_Madeleine,Office_Madisyn,Office_Malik,Office_Marc,Office_Marcia,Office_Marcus,Office_Marianne,Office_Marilyn,Office_Marion,Office_Mark,Office_Marla,Office_Marlon,Office_Martha,Office_Martin,Office_Marvin,Office_Mary,Office_Maryann,Office_Mason,Office_Mat,Office_Matthew,Office_Max,Office_Maximus,Office_Maya,Office_Megan,Office_Melinda,Office_Mercedes,Office_Michael,Office_Micheal,Office_Mick,Office_Mikayla,Office_Milton,Office_Mohammed,Office_Moises,Office_Monty,Office_Morgan,Office_Moses,Office_Muhammad,Office_Myron,UnivClass_Maddison,UnivDorm_Malachi,UnivDorm_Malcolm,UnivDorm_Marlene,UnivDorm_Marquis,UnivDorm_Mathew,UnivDorm_Mauricio,UnivDorm_Mckenzie,UnivDorm_Mitch,UnivLab_Mack,UnivLab_Madelyn,UnivLab_Margret,UnivLab_Mariana,UnivLab_Marie,UnivLab_Mario,UnivLab_Marshall,UnivLab_Miles
2014-05-01 15:00:00,133.0,82.5,53.25,64.25,45.25,248.0,57.25,175.0,66.0,157.5,131.25,12.0,24.25,110.5,55.0,17.75,57.0,15.414075,139.75,63.0,223.0,140.5,204.25,161.25,107.0,55.5,50.5,151.25,185.25,55.0,246.0,892.25,79.75,25.5,87.25,37.0,69.25,197.75,66.0,24.75,87.75,206.75,128.5,266.5,179.5,140.0,192.25,41.75,112.75,291.75,123.75,360.25,380.5,77.75,75.25,175.0
2014-05-01 16:00:00,129.25,76.75,54.75,72.5,47.25,257.75,58.25,163.25,61.5,166.75,134.25,12.25,28.5,141.25,53.5,18.0,60.5,16.773425,128.25,62.5,232.75,107.5,205.25,174.75,100.5,56.75,53.5,134.0,185.0,55.75,246.5,892.75,81.0,24.5,94.5,42.5,68.5,191.5,65.25,25.0,100.5,213.25,129.5,264.75,188.5,141.5,227.75,51.5,108.0,308.25,125.5,381.25,396.5,85.25,75.75,184.25
2014-05-01 17:00:00,123.0,86.25,50.75,66.0,46.0,249.0,57.25,166.0,64.75,165.5,133.75,11.75,26.5,133.0,53.5,16.5,61.5,17.30665,145.25,65.25,238.5,104.0,205.25,160.75,99.5,56.75,52.75,131.0,175.25,53.5,251.5,889.0,80.75,23.75,83.0,39.25,67.25,181.25,65.25,31.75,106.25,229.75,150.75,262.5,202.75,143.25,235.0,50.0,113.5,304.75,126.25,408.5,400.0,82.0,76.5,182.0
2014-05-01 18:00:00,115.75,78.75,49.25,63.25,46.5,254.5,59.25,170.0,65.75,155.5,135.0,11.5,26.75,118.0,52.5,16.75,61.5,16.27635,145.75,64.25,263.75,99.5,206.0,157.25,98.5,55.5,57.5,148.0,178.0,56.25,251.25,896.0,81.25,24.25,83.0,37.75,66.5,184.25,66.75,26.0,95.0,211.0,167.0,270.0,199.0,149.75,204.25,44.25,102.5,302.0,122.75,378.0,404.0,83.5,75.0,188.75
2014-05-01 19:00:00,112.5,83.0,49.0,62.25,45.75,249.75,54.75,157.5,67.75,165.0,130.5,13.25,27.5,134.0,50.25,16.5,60.75,13.4297,163.75,72.75,258.75,100.25,206.5,159.5,96.25,55.75,57.25,132.25,189.0,57.75,251.0,897.75,81.5,24.0,79.25,37.0,71.25,174.5,65.75,26.5,114.25,200.5,146.0,253.25,195.5,161.25,213.75,51.75,98.25,295.75,124.5,385.25,406.25,78.75,75.5,194.75
2014-05-01 20:00:00,112.0,89.0,44.75,60.5,42.75,251.0,48.75,150.25,67.0,158.0,135.0,13.0,26.25,125.5,54.5,15.5,57.0,16.29005,154.5,66.5,240.5,103.5,205.0,153.25,90.25,54.0,55.0,132.5,185.0,53.75,249.25,859.5,81.0,22.25,76.75,37.0,72.75,182.25,61.5,23.0,122.5,214.0,155.25,245.25,188.75,146.25,225.0,46.0,101.75,291.25,122.75,379.25,390.5,81.5,74.5,185.5
2014-05-01 21:00:00,104.25,77.75,44.0,53.75,46.75,252.25,44.75,148.25,62.0,152.5,127.0,12.25,24.0,122.25,46.5,15.75,49.0,19.018575,160.5,60.25,236.5,101.75,191.0,145.0,89.25,53.5,52.0,125.5,178.25,51.25,250.25,828.25,80.75,20.25,72.0,37.0,73.0,181.25,50.0,19.75,113.5,211.5,127.25,253.5,189.0,149.5,198.0,45.75,98.25,294.25,121.75,388.75,391.5,78.5,73.0,185.5
2014-05-01 22:00:00,90.75,78.0,35.0,45.75,38.0,248.25,39.5,130.0,57.25,138.0,116.25,11.25,15.75,111.0,52.25,14.25,38.5,19.0928,142.5,55.25,229.5,107.0,116.75,129.25,90.5,46.25,48.25,110.5,173.0,49.25,256.75,798.0,79.5,17.75,59.25,34.5,71.25,154.75,28.75,20.75,113.0,223.75,145.25,272.25,181.5,148.75,236.75,52.75,102.75,280.0,120.5,347.25,376.75,79.5,65.0,173.25
2014-05-01 23:00:00,79.0,66.25,31.25,45.5,34.25,240.5,27.5,114.75,44.25,132.0,102.25,10.75,10.75,101.0,50.0,13.25,32.25,18.38475,144.5,50.25,214.25,103.25,58.75,107.5,89.75,37.25,44.0,92.25,166.75,43.75,241.0,782.25,78.75,17.25,51.25,29.25,60.75,147.25,18.5,23.5,120.75,209.5,132.0,292.75,196.25,162.0,240.5,52.0,99.25,276.25,117.75,320.0,354.0,71.5,63.75,174.25
2014-05-02 00:00:00,73.75,71.25,29.5,45.5,15.75,205.25,29.25,112.25,39.75,131.75,89.0,11.25,9.5,95.25,49.75,10.75,29.75,18.2334,144.75,36.25,217.5,103.25,50.0,90.5,70.5,37.5,41.25,88.0,154.5,43.5,236.75,758.0,77.25,18.0,44.75,26.5,56.0,137.5,21.25,20.5,119.25,210.5,135.0,286.75,209.5,157.75,226.0,52.5,87.25,273.5,120.5,320.5,333.0,66.75,62.75,170.5
2014-05-02 01:00:00,57.0,73.25,27.75,46.75,15.0,203.0,30.75,110.75,35.5,135.0,92.0,11.5,9.5,94.5,43.5,7.5,26.5,12.821275,157.0,33.5,211.75,85.0,46.75,87.0,66.5,38.75,38.25,85.5,97.0,37.75,223.0,730.0,77.0,18.25,38.0,24.0,55.5,141.5,18.75,20.0,130.25,202.25,138.75,284.5,195.25,175.0,176.0,65.0,82.25,275.75,119.75,312.5,323.0,71.5,61.0,167.75
2014-05-02 02:00:00,57.75,83.5,26.5,47.0,15.0,200.75,30.0,108.0,35.25,138.75,82.5,11.75,8.75,76.0,42.5,7.5,31.25,5.372075,151.25,29.75,197.0,70.0,42.75,79.75,68.75,37.75,37.75,66.0,88.25,37.25,201.5,760.25,76.0,18.75,32.75,23.75,55.0,133.25,25.5,11.5,121.75,190.5,138.25,266.75,168.0,177.75,183.25,58.5,76.75,274.5,119.5,304.25,320.5,70.25,63.5,147.75
2014-05-02 03:00:00,57.5,77.75,29.0,36.75,15.0,194.75,30.0,112.0,32.25,138.75,70.5,11.25,8.25,56.5,41.0,8.0,21.75,5.13965,154.0,28.5,162.25,61.75,38.5,78.75,73.75,39.5,36.5,50.0,112.25,35.0,182.25,745.25,75.0,17.75,30.25,25.5,57.5,132.0,20.75,16.25,111.25,184.25,136.0,290.75,162.5,171.25,169.5,55.25,79.75,277.5,118.75,279.5,308.25,68.0,62.0,117.75
2014-05-02 04:00:00,49.75,79.5,27.0,34.5,14.5,188.75,28.5,98.0,27.75,111.75,63.0,12.75,8.25,48.5,41.25,8.0,21.75,5.236325,152.75,28.5,152.75,56.25,36.5,79.25,66.0,38.5,36.75,43.75,105.75,35.75,175.75,746.25,74.75,19.0,29.5,24.5,52.25,128.75,21.0,11.75,115.25,178.75,126.25,270.25,153.0,149.5,165.5,60.25,78.75,266.75,115.5,261.25,289.25,65.75,62.0,104.5
2014-05-02 05:00:00,48.25,70.5,27.5,34.5,14.75,192.0,25.75,95.5,20.0,104.0,58.5,11.5,8.5,46.75,35.25,8.0,22.5,5.3672,125.5,29.0,149.25,57.5,34.25,79.5,72.5,38.25,35.75,42.25,76.75,34.0,181.75,746.0,75.0,18.75,30.25,21.5,58.25,132.25,21.0,12.5,110.75,170.75,135.0,246.25,157.25,133.75,151.25,52.75,79.25,262.5,115.5,273.25,286.0,65.0,59.5,94.75
2014-05-02 06:00:00,46.0,62.0,26.75,34.75,14.5,182.25,25.0,93.5,17.75,97.75,57.75,10.25,8.25,40.75,32.75,7.5,23.0,4.98535,122.5,28.5,155.5,48.75,36.25,79.0,66.5,36.0,36.25,44.25,86.5,27.5,178.0,731.25,74.0,17.5,29.75,21.0,51.75,131.5,17.5,10.5,98.0,174.75,114.75,211.5,139.75,118.75,148.25,47.25,74.75,262.75,116.25,274.25,282.0,64.75,60.0,88.0
2014-05-02 07:00:00,45.5,73.25,28.25,34.0,15.0,179.75,24.0,95.5,17.25,98.75,61.75,11.75,8.5,48.75,33.75,7.5,21.5,4.219725,100.25,29.0,151.5,45.5,35.0,77.0,64.25,36.0,36.25,46.0,59.25,26.75,177.25,739.5,74.0,15.5,29.5,21.5,48.0,126.5,21.0,8.0,92.25,160.5,90.5,192.25,117.0,108.5,133.0,55.25,74.25,262.25,116.75,271.75,281.75,64.0,61.5,85.25
2014-05-02 08:00:00,44.5,57.75,27.0,34.25,14.75,181.5,23.75,94.25,17.0,99.0,65.5,9.75,8.5,39.75,33.5,7.5,23.0,4.189475,97.5,28.75,150.5,45.75,31.25,76.25,78.75,35.25,35.25,45.75,70.0,27.25,173.5,733.0,74.5,16.5,29.75,21.25,48.0,130.25,20.0,9.0,86.75,151.75,89.5,190.0,114.0,104.25,131.0,44.25,75.25,261.75,116.0,269.75,283.5,65.25,60.75,85.5
2014-05-02 09:00:00,44.5,58.25,24.75,35.25,14.5,182.5,23.75,94.25,17.25,94.75,61.0,10.75,8.25,41.5,33.5,7.75,21.75,4.2041,94.75,28.25,150.75,46.25,31.0,76.5,69.25,35.0,36.5,42.0,49.25,26.75,176.0,728.5,75.0,19.25,30.0,21.0,53.75,133.25,22.0,9.25,85.0,151.25,89.5,180.75,108.75,104.25,125.25,42.75,75.75,270.5,112.75,260.75,268.75,63.25,59.75,81.75
2014-05-02 10:00:00,54.75,65.25,25.0,40.0,14.25,181.0,30.5,107.5,18.25,93.75,57.0,10.25,7.75,40.5,33.75,7.75,25.25,4.386725,93.25,29.25,157.75,67.0,36.0,81.0,68.75,33.75,34.5,52.0,47.0,26.75,171.75,737.75,74.75,19.25,29.75,21.5,57.25,127.0,30.0,7.5,83.0,150.0,88.25,174.75,152.25,104.0,128.25,43.5,75.5,279.25,114.5,256.25,285.5,68.25,60.75,82.0
2014-05-02 11:00:00,69.75,57.25,25.25,45.25,22.0,213.75,35.75,121.5,30.25,98.75,78.25,11.0,8.0,43.25,39.25,7.25,29.0,5.88085,88.75,38.5,179.25,88.75,126.25,99.0,64.0,39.0,37.0,60.5,89.5,27.25,194.75,758.0,74.0,19.5,34.25,22.25,66.0,127.5,28.5,18.75,80.5,175.25,90.5,220.0,162.5,106.25,146.5,42.5,71.5,276.25,115.75,279.5,294.0,60.5,60.0,94.75
2014-05-02 12:00:00,95.5,70.5,27.25,59.0,25.75,225.5,43.25,139.0,37.75,121.25,91.5,10.0,7.75,74.25,39.5,7.75,36.75,11.07325,92.25,45.0,206.5,96.0,161.5,131.0,81.5,40.5,36.75,75.75,100.75,30.5,224.0,800.25,74.25,19.75,46.0,24.5,63.0,138.5,42.75,25.5,82.5,187.0,90.0,226.25,144.0,118.0,181.25,40.75,77.75,283.75,120.5,280.75,305.5,62.0,59.25,111.75
2014-05-02 13:00:00,102.75,69.25,35.5,59.5,42.0,239.25,53.25,157.25,53.5,136.0,116.0,10.25,16.5,92.0,47.75,10.0,52.0,12.62305,94.75,51.25,198.5,119.75,189.25,153.75,90.25,46.75,43.5,89.5,118.25,38.75,241.75,848.0,75.5,22.5,63.0,36.25,65.5,149.25,60.5,28.0,89.5,190.25,101.5,235.75,171.5,119.0,171.0,60.75,82.0,281.5,128.25,320.0,315.75,68.25,65.75,136.25
2014-05-02 14:00:00,109.5,81.25,44.0,65.5,49.0,251.5,59.0,152.75,57.5,135.5,118.0,10.75,22.25,104.0,43.25,15.0,50.5,12.0381,114.0,60.75,225.0,110.25,202.25,163.75,93.25,54.25,46.0,104.75,149.25,44.75,244.25,885.25,78.25,22.5,70.0,38.5,68.75,180.0,67.0,33.5,89.5,188.75,130.0,232.75,193.0,126.75,191.0,45.75,83.5,295.75,133.5,327.25,341.0,78.25,69.5,156.75
2014-05-02 15:00:00,113.5,86.25,46.0,67.5,54.5,248.5,58.75,157.25,62.75,143.25,115.5,10.75,28.5,112.5,45.25,15.5,49.5,14.728525,123.75,56.75,234.0,131.5,205.75,166.0,89.75,55.5,51.75,100.5,158.0,48.5,237.5,838.5,80.5,22.5,78.75,35.75,64.75,186.5,68.25,28.0,93.25,202.25,110.0,262.75,193.75,121.5,203.25,53.25,83.0,298.0,130.25,329.25,352.25,82.5,77.25,178.75
2014-05-02 16:00:00,107.0,82.5,49.25,66.25,58.75,247.0,60.0,157.25,62.5,146.0,125.5,11.25,25.75,122.0,46.5,15.5,51.75,13.121075,133.0,56.0,258.0,136.25,203.5,161.75,97.75,55.5,53.25,99.25,163.5,49.5,240.25,820.75,79.75,25.75,81.5,37.5,63.75,182.0,69.0,20.75,97.0,216.25,129.0,254.75,207.5,140.75,221.0,72.75,95.0,296.25,131.25,320.0,371.0,80.25,75.0,181.25
2014-05-02 17:00:00,108.0,84.25,48.5,69.0,58.0,249.75,58.25,151.75,65.5,148.0,130.0,11.75,26.75,111.0,47.25,16.0,54.25,12.481475,135.25,60.0,245.5,121.0,206.25,157.0,91.25,54.75,58.5,107.75,158.5,56.25,237.75,830.75,81.25,24.0,77.25,34.0,65.75,180.0,64.25,30.25,101.25,221.0,143.25,271.25,212.75,137.75,234.25,54.5,96.5,295.0,130.5,339.25,371.5,77.25,80.75,193.25
2014-05-02 18:00:00,109.75,84.75,46.0,72.25,52.25,250.0,54.0,148.0,65.0,142.0,129.5,12.5,25.75,125.0,48.0,15.5,52.5,12.501,151.25,55.5,274.5,107.5,202.75,163.5,82.25,59.0,57.5,105.0,159.25,57.25,238.0,838.25,79.75,23.25,79.5,34.0,67.0,179.25,64.75,30.5,88.5,212.25,154.25,276.0,198.25,136.5,238.25,50.75,95.75,294.5,128.75,333.0,368.5,78.0,81.0,195.25
2014-05-02 19:00:00,106.25,85.75,51.0,70.75,44.0,255.5,52.75,149.0,71.5,146.5,120.0,12.75,24.5,116.75,48.25,15.25,51.25,14.40235,160.5,61.0,279.75,106.0,201.0,151.5,99.25,53.75,57.0,109.0,172.25,52.5,242.0,817.75,80.0,24.0,81.5,34.75,73.0,181.5,60.75,28.75,94.25,201.25,150.25,258.5,212.0,144.75,202.25,43.5,94.25,294.5,127.75,339.25,369.5,76.0,78.5,201.5
2014-05-02 20:00:00,103.25,81.25,46.5,68.0,41.25,258.75,49.25,134.75,69.5,144.25,117.0,11.75,23.0,126.5,48.25,15.0,52.25,13.73535,148.0,57.0,266.0,100.25,192.5,143.5,85.75,53.0,53.25,110.75,174.25,47.5,237.25,793.75,80.25,22.5,75.25,36.75,75.25,173.5,59.5,21.0,101.25,204.0,136.0,253.5,225.25,161.25,192.5,52.75,91.25,295.25,124.25,339.75,372.0,75.75,77.25,200.25
2014-05-02 21:00:00,96.0,79.25,40.75,60.0,37.75,250.75,43.75,129.5,62.25,142.0,104.25,11.5,19.75,103.5,45.75,15.0,46.75,13.51075,138.5,42.75,228.25,98.5,178.25,128.75,85.5,48.0,49.75,87.75,161.5,41.5,243.5,776.0,82.5,21.75,71.5,35.0,73.75,163.5,45.5,20.5,97.5,212.75,152.5,254.0,216.25,151.25,203.75,53.0,98.75,285.25,119.75,339.0,358.5,73.75,67.25,176.75
2014-05-02 22:00:00,81.25,69.75,32.5,54.75,32.0,253.5,40.5,123.75,54.5,133.5,98.25,10.5,11.0,91.0,47.75,12.25,33.5,12.908225,128.5,34.5,215.25,100.75,107.25,116.75,74.75,41.5,43.0,83.5,148.25,36.0,244.25,759.0,87.25,20.0,55.25,26.25,72.25,143.75,31.0,18.0,101.0,221.5,144.0,258.25,183.0,154.0,236.0,48.75,102.25,280.0,117.75,297.25,344.5,67.5,59.0,161.0
2014-05-02 23:00:00,60.5,75.75,31.25,52.75,26.75,235.0,33.0,110.5,39.25,130.5,87.75,12.75,8.25,78.75,50.75,8.5,30.0,6.809575,122.25,33.75,182.0,97.75,49.0,86.75,71.5,32.75,39.5,73.75,144.5,36.75,227.75,735.0,80.75,19.5,45.5,25.0,72.25,133.25,23.25,11.25,100.75,202.5,137.25,258.0,174.25,147.5,227.75,59.0,91.25,283.0,115.0,274.25,334.0,69.75,58.25,131.0
2014-05-03 00:00:00,57.75,63.0,27.75,50.25,14.25,208.25,30.25,107.75,34.0,133.75,85.25,11.0,8.0,72.25,41.25,7.5,30.5,5.042,130.0,31.0,175.75,91.0,44.25,72.0,66.0,32.5,36.75,69.25,140.0,35.0,217.75,714.75,79.5,18.75,43.0,23.5,69.0,134.0,20.25,9.25,101.0,190.0,122.25,242.5,185.25,143.0,214.25,46.5,84.25,279.5,118.0,273.0,321.5,66.75,56.25,117.0
2014-05-03 01:00:00,59.0,68.25,25.0,52.5,14.25,203.5,27.0,106.25,28.0,127.5,78.25,11.0,8.5,71.25,41.25,7.0,29.0,4.9082,138.0,30.25,183.75,79.0,40.5,78.75,66.0,41.0,35.0,56.25,84.75,32.0,207.75,695.5,77.75,18.5,34.0,23.5,69.0,137.25,26.0,9.0,93.25,178.75,134.75,226.75,174.5,144.75,160.75,59.5,79.5,275.5,116.5,272.25,303.0,68.25,61.0,113.5
2014-05-03 02:00:00,52.25,75.5,25.75,53.0,14.5,188.5,26.25,102.5,29.5,126.25,73.0,11.25,8.5,66.0,41.0,7.5,29.75,4.60745,141.75,28.75,172.5,79.75,37.75,70.5,62.5,36.5,35.25,55.5,81.75,33.25,190.25,686.5,76.75,19.0,26.25,26.25,62.5,133.5,24.0,8.5,111.5,173.0,118.5,226.0,154.5,144.0,163.75,58.75,78.75,276.25,119.0,263.5,301.25,65.5,61.25,110.5
2014-05-03 03:00:00,48.0,73.5,25.5,32.5,14.0,185.25,23.5,103.25,31.25,127.25,63.75,11.25,8.0,48.5,41.25,7.25,22.0,5.21875,124.0,26.75,155.25,61.5,35.75,74.0,63.5,38.0,33.25,66.5,79.5,33.5,173.25,719.25,76.25,18.5,23.75,24.75,52.0,126.5,17.0,8.25,119.75,167.5,128.25,224.5,148.5,144.5,147.0,49.25,76.75,275.0,114.25,251.75,297.25,63.25,62.75,106.25
2014-05-03 04:00:00,48.5,76.0,28.25,30.75,13.75,180.75,22.25,98.5,27.0,103.75,60.5,10.75,7.5,50.5,40.75,7.25,21.5,4.683575,127.0,27.25,151.25,56.75,32.25,71.25,64.25,36.5,32.5,47.75,67.5,32.25,169.25,695.0,76.25,18.75,23.5,22.75,46.5,126.75,19.25,8.25,105.5,170.75,114.25,219.0,144.5,135.0,148.0,58.25,75.25,275.5,111.75,253.5,291.0,60.5,61.25,92.25
2014-05-03 05:00:00,45.5,73.5,25.75,32.5,14.0,178.75,22.5,88.25,20.5,99.75,61.75,12.25,8.0,42.5,36.75,7.5,22.5,4.785175,134.75,26.75,147.0,55.75,34.75,72.75,63.25,36.75,32.75,45.5,54.25,30.0,170.25,665.25,75.75,18.75,23.75,21.25,44.5,128.75,21.0,9.75,103.25,165.5,100.25,216.5,139.5,133.75,142.25,59.5,74.0,263.0,110.75,262.5,293.0,58.5,60.75,103.25
2014-05-03 06:00:00,46.25,65.25,24.75,32.25,13.0,182.5,22.75,88.5,20.75,102.75,59.5,10.25,8.5,38.25,33.5,7.25,23.25,5.366225,126.0,27.0,150.5,48.25,31.5,72.25,61.5,35.5,35.5,44.25,51.25,27.75,169.25,698.75,76.25,17.0,24.25,21.25,44.5,127.25,18.0,9.75,102.5,165.75,94.5,209.75,134.0,125.5,142.0,49.0,73.0,262.0,111.25,263.0,294.25,59.5,61.0,88.25
2014-05-03 07:00:00,44.0,70.0,24.5,32.0,14.75,181.25,23.0,89.25,20.0,99.0,58.75,10.25,7.75,38.0,35.75,7.0,21.75,4.760725,117.0,26.75,148.75,42.75,30.5,73.75,61.5,33.5,36.0,43.75,49.75,26.75,168.0,709.5,76.75,16.25,24.25,21.25,48.5,131.5,19.75,9.5,103.75,163.25,91.0,204.5,130.0,115.5,140.75,57.0,76.5,262.25,112.25,262.75,290.0,62.25,62.25,88.5
2014-05-03 08:00:00,43.25,65.5,23.75,32.5,13.0,182.25,22.75,91.5,20.25,95.0,63.75,10.0,8.25,37.0,35.0,7.25,22.5,4.78515,109.5,27.0,148.25,43.0,30.5,74.75,66.75,35.25,34.75,46.25,57.25,26.75,169.75,726.25,76.25,16.0,23.5,21.25,48.25,127.25,18.25,8.25,100.0,150.75,86.0,191.0,111.5,107.25,135.5,44.0,74.75,263.25,109.75,255.25,294.75,61.25,61.0,98.0
2014-05-03 09:00:00,44.75,71.5,24.25,31.5,14.0,185.75,23.0,91.75,20.0,97.5,66.75,9.75,8.0,37.0,35.5,7.0,21.5,5.298825,96.5,26.75,144.0,43.5,27.25,71.5,61.0,33.5,36.5,45.5,47.5,26.5,167.5,728.75,74.75,16.25,24.25,21.0,53.25,125.5,19.0,9.75,90.0,144.25,91.0,187.25,109.5,104.5,127.75,43.5,75.75,263.25,110.75,264.75,298.0,64.5,62.0,89.5
2014-05-03 10:00:00,44.0,71.75,23.25,30.75,13.0,186.0,22.75,89.0,19.75,93.75,64.5,11.0,8.0,37.0,36.25,7.5,21.0,4.799825,91.25,32.0,146.0,63.25,28.75,70.25,59.75,34.25,35.0,46.0,48.0,26.75,165.25,728.25,75.0,15.5,24.75,20.75,55.25,124.0,18.25,8.5,85.5,143.5,88.0,179.25,108.5,103.25,121.25,42.75,73.75,267.25,110.25,281.5,294.25,63.0,62.25,78.5
